,alpha,xi_w,xi,v,w,alpha_pl
59,0.0046,0.4,0.005900590059005901,0.0,0.9893371234543857,0.004512358268872192
60,0.0046,0.4,0.006000600060006001,0.0,0.9893371234543857,0.004512358268872192
61,0.0046,0.4,0.006100610061006101,0.0,0.9893371234543857,0.004512358268872192
62,0.0046,0.4,0.006200620062006201,0.0,0.9893371234543857,0.004512358268872192
63,0.0046,0.4,0.0063006300630063005,0.0,0.9893371234543857,0.004512358268872192
64,0.0046,0.4,0.006400640064006401,0.0,0.9893371234543857,0.004512358268872192
65,0.0046,0.4,0.006500650065006501,0.0,0.9893371234543857,0.004512358268872192
66,0.0046,0.4,0.006600660066006601,0.0,0.9893371234543857,0.004512358268872192
67,0.0046,0.4,0.006700670067006701,0.0,0.9893371234543857,0.004512358268872192
68,0.0046,0.4,0.006800680068006801,0.0,0.9893371234543857,0.004512358268872192
69,0.0046,0.4,0.006900690069006901,0.0,0.9893371234543857,0.004512358268872192
70,0.0046,0.4,0.0070007000700070005,0.0,0.9893371234543857,0.004512358268872192
71,0.0046,0.4,0.007100710071007101,0.0,0.9893371234543857,0.004512358268872192
72,0.0046,0.4,0.007200720072007201,0.0,0.9893371234543857,0.004512358268872192
73,0.0046,0.4,0.007300730073007301,0.0,0.9893371234543857,0.004512358268872192
74,0.0046,0.4,0.007400740074007401,0.0,0.9893371234543857,0.004512358268872192
75,0.0046,0.4,0.007500750075007501,0.0,0.9893371234543857,0.004512358268872192
76,0.0046,0.4,0.007600760076007601,0.0,0.9893371234543857,0.004512358268872192
77,0.0046,0.4,0.0077007700770077014,0.0,0.9893371234543857,0.004512358268872192
78,0.0046,0.4,0.007800780078007801,0.0,0.9893371234543857,0.004512358268872192
79,0.0046,0.4,0.0079007900790079,0.0,0.9893371234543857,0.004512358268872192
80,0.0046,0.4,0.008000800080008,0.0,0.9893371234543857,0.004512358268872192
81,0.0046,0.4,0.008100810081008101,0.0,0.9893371234543857,0.004512358268872192
82,0.0046,0.4,0.008200820082008202,0.0,0.9893371234543857,0.004512358268872192
83,0.0046,0.4,0.0083008300830083,0.0,0.9893371234543857,0.004512358268872192
84,0.0046,0.4,0.0084008400840084,0.0,0.9893371234543857,0.004512358268872192
85,0.0046,0.4,0.008500850085008501,0.0,0.9893371234543857,0.004512358268872192
86,0.0046,0.4,0.008600860086008601,0.0,0.9893371234543857,0.004512358268872192
87,0.0046,0.4,0.008700870087008702,0.0,0.9893371234543857,0.004512358268872192
88,0.0046,0.4,0.0088008800880088,0.0,0.9893371234543857,0.004512358268872192
89,0.0046,0.4,0.0089008900890089,0.0,0.9893371234543857,0.004512358268872192
90,0.0046,0.4,0.009000900090009001,0.0,0.9893371234543857,0.004512358268872192
91,0.0046,0.4,0.009100910091009102,0.0,0.9893371234543857,0.004512358268872192
92,0.0046,0.4,0.009200920092009202,0.0,0.9893371234543857,0.004512358268872192
93,0.0046,0.4,0.0093009300930093,0.0,0.9893371234543857,0.004512358268872192
94,0.0046,0.4,0.009400940094009401,0.0,0.9893371234543857,0.004512358268872192
95,0.0046,0.4,0.009500950095009501,0.0,0.9893371234543857,0.004512358268872192
96,0.0046,0.4,0.009600960096009602,0.0,0.9893371234543857,0.004512358268872192
97,0.0046,0.4,0.009700970097009702,0.0,0.9893371234543857,0.004512358268872192
98,0.0046,0.4,0.0098009800980098,0.0,0.9893371234543857,0.004512358268872192
99,0.0046,0.4,0.009900990099009901,0.0,0.9893371234543857,0.004512358268872192
100,0.0046,0.4,0.010001000100010001,0.0,0.9893371234543857,0.004512358268872192
101,0.0046,0.4,0.010101010101010102,0.0,0.9893371234543857,0.004512358268872192
102,0.0046,0.4,0.0102010201020102,0.0,0.9893371234543857,0.004512358268872192
103,0.0046,0.4,0.010301030103010301,0.0,0.9893371234543857,0.004512358268872192
104,0.0046,0.4,0.010401040104010401,0.0,0.9893371234543857,0.004512358268872192
105,0.0046,0.4,0.010501050105010502,0.0,0.9893371234543857,0.004512358268872192
106,0.0046,0.4,0.010601060106010602,0.0,0.9893371234543857,0.004512358268872192
107,0.0046,0.4,0.0107010701070107,0.0,0.9893371234543857,0.004512358268872192
108,0.0046,0.4,0.010801080108010801,0.0,0.9893371234543857,0.004512358268872192
109,0.0046,0.4,0.010901090109010901,0.0,0.9893371234543857,0.004512358268872192
110,0.0046,0.4,0.011001100110011002,0.0,0.9893371234543857,0.004512358268872192
111,0.0046,0.4,0.011101110111011102,0.0,0.9893371234543857,0.004512358268872192
112,0.0046,0.4,0.0112011201120112,0.0,0.9893371234543857,0.004512358268872192
113,0.0046,0.4,0.011301130113011301,0.0,0.9893371234543857,0.004512358268872192
114,0.0046,0.4,0.011401140114011402,0.0,0.9893371234543857,0.004512358268872192
115,0.0046,0.4,0.011501150115011502,0.0,0.9893371234543857,0.004512358268872192
116,0.0046,0.4,0.011601160116011602,0.0,0.9893371234543857,0.004512358268872192
117,0.0046,0.4,0.011701170117011701,0.0,0.9893371234543857,0.004512358268872192
118,0.0046,0.4,0.011801180118011801,0.0,0.9893371234543857,0.004512358268872192
119,0.0046,0.4,0.011901190119011902,0.0,0.9893371234543857,0.004512358268872192
120,0.0046,0.4,0.012001200120012002,0.0,0.9893371234543857,0.004512358268872192
121,0.0046,0.4,0.0121012101210121,0.0,0.9893371234543857,0.004512358268872192
122,0.0046,0.4,0.012201220122012201,0.0,0.9893371234543857,0.004512358268872192
123,0.0046,0.4,0.012301230123012302,0.0,0.9893371234543857,0.004512358268872192
124,0.0046,0.4,0.012401240124012402,0.0,0.9893371234543857,0.004512358268872192
125,0.0046,0.4,0.012501250125012502,0.0,0.9893371234543857,0.004512358268872192
126,0.0046,0.4,0.012601260126012601,0.0,0.9893371234543857,0.004512358268872192
127,0.0046,0.4,0.012701270127012701,0.0,0.9893371234543857,0.004512358268872192
128,0.0046,0.4,0.012801280128012802,0.0,0.9893371234543857,0.004512358268872192
129,0.0046,0.4,0.012901290129012902,0.0,0.9893371234543857,0.004512358268872192
130,0.0046,0.4,0.013001300130013002,0.0,0.9893371234543857,0.004512358268872192
131,0.0046,0.4,0.013101310131013101,0.0,0.9893371234543857,0.004512358268872192
132,0.0046,0.4,0.013201320132013201,0.0,0.9893371234543857,0.004512358268872192
133,0.0046,0.4,0.013301330133013302,0.0,0.9893371234543857,0.004512358268872192
134,0.0046,0.4,0.013401340134013402,0.0,0.9893371234543857,0.004512358268872192
135,0.0046,0.4,0.013501350135013503,0.0,0.9893371234543857,0.004512358268872192
136,0.0046,0.4,0.013601360136013601,0.0,0.9893371234543857,0.004512358268872192
137,0.0046,0.4,0.013701370137013702,0.0,0.9893371234543857,0.004512358268872192
138,0.0046,0.4,0.013801380138013802,0.0,0.9893371234543857,0.004512358268872192
139,0.0046,0.4,0.013901390139013902,0.0,0.9893371234543857,0.004512358268872192
140,0.0046,0.4,0.014001400140014001,0.0,0.9893371234543857,0.004512358268872192
141,0.0046,0.4,0.014101410141014101,0.0,0.9893371234543857,0.004512358268872192
142,0.0046,0.4,0.014201420142014202,0.0,0.9893371234543857,0.004512358268872192
143,0.0046,0.4,0.014301430143014302,0.0,0.9893371234543857,0.004512358268872192
144,0.0046,0.4,0.014401440144014403,0.0,0.9893371234543857,0.004512358268872192
145,0.0046,0.4,0.014501450145014501,0.0,0.9893371234543857,0.004512358268872192
146,0.0046,0.4,0.014601460146014602,0.0,0.9893371234543857,0.004512358268872192
147,0.0046,0.4,0.014701470147014702,0.0,0.9893371234543857,0.004512358268872192
148,0.0046,0.4,0.014801480148014802,0.0,0.9893371234543857,0.004512358268872192
149,0.0046,0.4,0.014901490149014903,0.0,0.9893371234543857,0.004512358268872192
150,0.0046,0.4,0.015001500150015001,0.0,0.9893371234543857,0.004512358268872192
151,0.0046,0.4,0.015101510151015102,0.0,0.9893371234543857,0.004512358268872192
152,0.0046,0.4,0.015201520152015202,0.0,0.9893371234543857,0.004512358268872192
153,0.0046,0.4,0.015301530153015303,0.0,0.9893371234543857,0.004512358268872192
154,0.0046,0.4,0.015401540154015403,0.0,0.9893371234543857,0.004512358268872192
155,0.0046,0.4,0.015501550155015502,0.0,0.9893371234543857,0.004512358268872192
156,0.0046,0.4,0.015601560156015602,0.0,0.9893371234543857,0.004512358268872192
157,0.0046,0.4,0.0157015701570157,0.0,0.9893371234543857,0.004512358268872192
158,0.0046,0.4,0.0158015801580158,0.0,0.9893371234543857,0.004512358268872192
159,0.0046,0.4,0.0159015901590159,0.0,0.9893371234543857,0.004512358268872192
160,0.0046,0.4,0.016001600160016,0.0,0.9893371234543857,0.004512358268872192
161,0.0046,0.4,0.016101610161016102,0.0,0.9893371234543857,0.004512358268872192
162,0.0046,0.4,0.016201620162016202,0.0,0.9893371234543857,0.004512358268872192
163,0.0046,0.4,0.016301630163016303,0.0,0.9893371234543857,0.004512358268872192
164,0.0046,0.4,0.016401640164016403,0.0,0.9893371234543857,0.004512358268872192
165,0.0046,0.4,0.016501650165016504,0.0,0.9893371234543857,0.004512358268872192
166,0.0046,0.4,0.0166016601660166,0.0,0.9893371234543857,0.004512358268872192
167,0.0046,0.4,0.0167016701670167,0.0,0.9893371234543857,0.004512358268872192
168,0.0046,0.4,0.0168016801680168,0.0,0.9893371234543857,0.004512358268872192
169,0.0046,0.4,0.0169016901690169,0.0,0.9893371234543857,0.004512358268872192
